Importance,Job Zone,Code,Occupation
72,4,29-1125.00,Recreational Therapists
72,4,21-1015.00,Rehabilitation Counselors
72,2,47-2171.00,Reinforcing Iron and Rebar Workers
72,3,27-4014.00,Sound Engineering Technicians
72,3,11-9179.02,Spa Managers
72,4,11-3131.00,Training and Development Managers
71,5,29-1291.00,Acupuncturists
71,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
71,3,51-9161.00,Computer Numerically Controlled Tool Operators
71,2,33-3012.00,Correctional Officers and Jailers
71,3,33-3051.04,Customs and Border Protection Officers
71,4,27-3041.00,Editors
71,3,31-9099.02,Endoscopy Technicians
71,4,27-1024.00,Graphic Designers
71,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
71,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
71,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
71,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
71,3,17-3029.08,Photonics Technicians
71,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
71,2,53-1042.01,Recycling Coordinators
71,3,29-2055.00,Surgical Technologists
71,4,27-3042.00,Technical Writers
71,2,43-3071.00,Tellers
71,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
71,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
70,3,49-3011.00,Aircraft Mechanics and Service Technicians
70,4,27-1011.00,Art Directors
70,2,47-2041.00,Carpet Installers
70,4,27-2022.00,Coaches and Scouts
70,2,43-4021.00,Correspondence Clerks
70,5,29-1021.00,"Dentists, General"
70,2,49-9051.00,Electrical Power-Line Installers and Repairers
70,4,13-1041.01,Environmental Compliance Inspectors
70,4,17-3025.00,Environmental Engineering Technologists and Technicians
70,3,19-4013.00,Food Science Technicians
70,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
70,3,13-1041.04,Government Property Inspectors and Investigators
70,2,47-3012.00,Helpers--Carpenters
70,3,43-6012.00,Legal Secretaries and Administrative Assistants
70,3,29-2035.00,Magnetic Resonance Imaging Technologists
70,3,49-9071.00,"Maintenance and Repair Workers, General"
70,3,51-9082.00,Medical Appliance Technicians
70,4,13-1121.00,"Meeting, Convention, and Event Planners"
70,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
70,3,49-3051.00,Motorboat Mechanics and Service Technicians
70,3,43-4141.00,New Accounts Clerks
70,2,17-3029.01,Non-Destructive Testing Specialists
70,3,31-2011.00,Occupational Therapy Assistants
70,2,43-9061.00,"Office Clerks, General"
70,4,21-1093.00,Social and Human Service Assistants
70,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
70,4,11-9199.10,Wind Energy Development Managers
69,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
69,2,45-2011.00,Agricultural Inspectors
69,2,53-1041.00,Aircraft Cargo Handling Supervisors
69,2,39-2021.00,Animal Caretakers
69,2,39-2011.00,Animal Trainers
69,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
69,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
69,2,51-9011.00,Chemical Equipment Operators and Tenders
69,5,21-2011.00,Clergy
69,2,51-9081.00,Dental Laboratory Technicians
69,3,39-4011.00,Embalmers
69,2,51-2031.00,Engine and Other Machine Assemblers
69,2,47-4031.00,Fence Erectors
69,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
69,2,51-3092.00,Food Batchmakers
69,2,35-3041.00,"Food Servers, Nonrestaurant"
69,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
69,2,43-5011.01,Freight Forwarders
69,2,41-2012.00,Gambling Change Persons and Booth Cashiers
69,3,11-9071.00,Gambling Managers
69,2,51-4192.00,"Layout Workers, Metal and Plastic"
69,3,25-4031.00,Library Technicians
69,2,53-4011.00,Locomotive Engineers
69,3,31-9011.00,Massage Therapists
69,2,53-5022.00,Motorboat Operators
69,3,31-1131.00,Nursing Assistants
69,2,43-3051.00,Payroll and Timekeeping Clerks
69,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
69,2,31-1133.00,Psychiatric Aides
69,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
69,3,25-3021.00,Self-Enrichment Teachers
68,3,49-3023.00,Automotive Service Technicians and Mechanics
68,3,49-9061.00,Camera and Photographic Equipment Repairers
68,2,43-5011.00,Cargo and Freight Agents
68,2,51-8091.00,Chemical Plant and System Operators
68,2,51-9194.00,Etchers and Engravers
68,4,29-1128.00,Exercise Physiologists
68,3,19-4071.00,Forest and Conservation Technicians
68,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
68,3,27-1026.00,Merchandise Displayers and Window Trimmers
68,4,29-1129.02,Music Therapists
68,5,29-1051.00,Pharmacists
68,3,31-2021.00,Physical Therapist Assistants
68,4,27-2012.00,Producers and Directors
68,2,47-2181.00,Roofers
68,3,49-2098.00,Security and Fire Alarm Systems Installers
68,2,47-2211.00,Sheet Metal Workers
68,3,51-8021.00,Stationary Engineers and Boiler Operators
68,2,53-7073.00,Wellhead Pumpers
67,2,39-3092.00,Costume Attendants
67,3,27-3092.00,Court Reporters and Simultaneous Captioners
67,3,13-1041.08,Customs Brokers
67,3,31-9091.00,Dental Assistants
67,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
67,4,33-3031.00,Fish and Game Wardens
67,3,45-4011.00,Forest and Conservation Workers
67,4,27-3091.00,Interpreters and Translators
67,5,21-1023.00,Mental Health and Substance Abuse Social Workers
67,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
67,3,19-4051.02,Nuclear Monitoring Technicians
67,2,47-2142.00,Paperhangers
