Context,Job Zone,Code,Occupation
67,2,27-2021.00,Athletes and Sports Competitors
67,5,19-1021.00,Biochemists and Biophysicists
67,1,47-2051.00,Cement Masons and Concrete Finishers
67,5,11-1011.03,Chief Sustainability Officers
67,2,33-3012.00,Correctional Officers and Jailers
67,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
67,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
67,2,47-2081.00,Drywall and Ceiling Tile Installers
67,4,17-3025.00,Environmental Engineering Technologists and Technicians
67,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
67,3,45-4011.00,Forest and Conservation Workers
67,4,13-1131.00,Fundraisers
67,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
67,2,39-3021.00,Motion Picture Projectionists
67,3,31-1131.00,Nursing Assistants
67,4,29-1125.00,Recreational Therapists
66,2,27-2011.00,Actors
66,3,27-4011.00,Audio and Video Technicians
66,2,35-3011.00,Bartenders
66,2,47-2021.00,Brickmasons and Blockmasons
66,2,53-6011.00,Bridge and Lock Tenders
66,5,25-1011.00,"Business Teachers, Postsecondary"
66,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
66,3,49-9092.00,Commercial Divers
66,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
66,5,25-1021.00,"Computer Science Teachers, Postsecondary"
66,3,47-4011.00,Construction and Building Inspectors
