Context,Job Zone,Code,Occupation
75,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
75,5,15-1221.00,Computer and Information Research Scientists
75,2,43-4031.00,"Court, Municipal, and License Clerks"
75,4,29-1141.03,Critical Care Nurses
75,2,53-3031.00,Driver/Sales Workers
75,4,25-2021.00,"Elementary School Teachers, Except Special Education"
75,4,13-1041.01,Environmental Compliance Inspectors
75,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
75,2,47-2121.00,Glaziers
75,3,13-1041.04,Government Property Inspectors and Investigators
75,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
75,2,47-3012.00,Helpers--Carpenters
75,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
75,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
75,2,43-4121.00,"Library Assistants, Clerical"
75,4,17-2121.00,Marine Engineers and Naval Architects
75,2,49-9011.00,Mechanical Door Repairers
75,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
75,5,29-1299.02,Orthoptists
75,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
75,4,29-1141.00,Registered Nurses
75,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
75,3,11-9179.02,Spa Managers
75,3,47-2022.00,Stonemasons
75,4,13-1151.00,Training and Development Specialists
75,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
75,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
74,2,45-2011.00,Agricultural Inspectors
74,4,13-2023.00,Appraisers and Assessors of Real Estate
74,4,19-2021.00,Atmospheric and Space Scientists
74,2,49-3021.00,Automotive Body and Related Repairers
74,3,49-3023.00,Automotive Service Technicians and Mechanics
74,4,13-1199.04,Business Continuity Planners
74,4,17-1021.00,Cartographers and Photogrammetrists
74,2,35-2015.00,"Cooks, Short Order"
74,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
74,3,13-1041.06,Coroners
74,3,53-7021.00,Crane and Tower Operators
74,2,47-2081.00,Drywall and Ceiling Tile Installers
74,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
74,2,49-9051.00,Electrical Power-Line Installers and Repairers
74,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
74,3,19-4071.00,Forest and Conservation Technicians
74,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
74,5,29-9092.00,Genetic Counselors
74,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
74,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
74,2,49-9094.00,Locksmiths and Safe Repairers
74,4,17-2112.03,Manufacturing Engineers
74,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
74,2,31-9095.00,Pharmacy Aides
74,3,33-3051.00,Police and Sheriff's Patrol Officers
74,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
74,3,29-2034.00,Radiologic Technologists and Technicians
74,2,43-4171.00,Receptionists and Information Clerks
74,3,29-1126.00,Respiratory Therapists
74,2,47-2181.00,Roofers
74,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
74,2,47-5013.00,"Service Unit Operators, Oil and Gas"
74,3,51-8021.00,Stationary Engineers and Boiler Operators
74,4,43-9111.00,Statistical Assistants
74,5,15-2041.00,Statisticians
74,5,19-3022.00,Survey Researchers
74,2,43-2011.00,"Switchboard Operators, Including Answering Service"
74,3,15-1241.01,Telecommunications Engineering Specialists
73,4,15-2011.00,Actuaries
73,3,53-2021.00,Air Traffic Controllers
73,3,27-4011.00,Audio and Video Technicians
73,4,15-2099.01,Bioinformatics Technicians
73,4,27-2032.00,Choreographers
73,3,51-9162.00,Computer Numerically Controlled Tool Programmers
73,4,19-1031.00,Conservation Scientists
73,3,33-3051.04,Customs and Border Protection Officers
73,4,15-1243.01,Data Warehousing Specialists
73,1,47-5011.00,"Derrick Operators, Oil and Gas"
